iter	Passed	Remaining
0	40	40044
1	78	38970
2	113	37826
3	150	37352
4	184	36800
5	221	36752
6	259	36829
7	297	36945
8	335	36890
9	372	36855
10	413	37154
11	449	36980
12	482	36669
13	519	36583
14	552	36263
15	587	36138
16	625	36182
17	661	36097
18	693	35789
19	729	35758
20	770	35920
21	805	35825
22	838	35608
23	870	35381
24	910	35495
25	945	35423
26	986	35536
27	1025	35607
28	1062	35574
29	1097	35476
30	1132	35404
31	1172	35454
32	1215	35606
33	1253	35607
34	1288	35538
35	1327	35541
36	1365	35538
37	1407	35630
38	1447	35658
39	1483	35599
40	1520	35572
41	1556	35498
42	1589	35380
43	1620	35219
44	1654	35113
45	1687	34996
46	1721	34900
47	1760	34915
48	1799	34917
49	1836	34891
50	1872	34835
51	1910	34833
52	1945	34765
53	1983	34741
54	2029	34870
55	2073	34947
56	2108	34886
57	2142	34789
58	2178	34745
59	2212	34665
60	2243	34534
61	2275	34426
62	2307	34315
63	2341	34244
64	2375	34167
65	2412	34141
66	2447	34083
67	2478	33970
68	2511	33886
69	2549	33877
70	2584	33822
71	2615	33713
72	2647	33619
73	2675	33478
74	2707	33393
75	2738	33289
76	2768	33182
77	2797	33062
78	2826	32953
79	2863	32927
80	2906	32972
81	2947	33001
82	2985	32981
83	3018	32915
84	3051	32845
85	3084	32778
86	3120	32749
87	3151	32659
88	3181	32562
89	3214	32501
90	3245	32416
91	3278	32354
92	3312	32306
93	3341	32209
94	3374	32145
95	3400	32021
96	3432	31957
97	3465	31893
98	3503	31888
99	3540	31864
100	3581	31878
101	3626	31927
102	3666	31934
103	3702	31898
104	3740	31886
105	3781	31893
106	3819	31873
107	3856	31851
108	3891	31808
109	3927	31775
110	3964	31753
111	4013	31822
112	4055	31836
113	4096	31833
114	4134	31816
115	4171	31789
116	4208	31757
117	4246	31743
118	4284	31721
119	4319	31675
120	4353	31622
121	4388	31585
122	4424	31546
123	4462	31525
124	4506	31547
125	4539	31487
126	4574	31442
127	4603	31361
128	4643	31352
129	4682	31335
130	4718	31301
131	4749	31234
132	4784	31186
133	4823	31173
134	4854	31107
135	4890	31066
136	4926	31035
137	4962	30994
138	4998	30958
139	5032	30914
140	5072	30901
141	5100	30821
142	5144	30833
143	5187	30838
144	5237	30882
145	5285	30914
146	5328	30921
147	5371	30924
148	5419	30954
149	5459	30934
150	5504	30948
151	5547	30949
152	5581	30901
153	5617	30860
154	5658	30847
155	5700	30839
156	5738	30814
157	5769	30748
158	5804	30702
159	5841	30667
160	5875	30620
161	5908	30563
162	5946	30534
163	5986	30518
164	6026	30495
165	6062	30460
166	6104	30450
167	6141	30415
168	6180	30391
169	6220	30369
170	6258	30342
171	6293	30296
172	6326	30244
173	6362	30205
174	6399	30169
175	6439	30147
176	6475	30108
177	6515	30087
178	6559	30084
179	6600	30068
180	6642	30054
181	6678	30018
182	6716	29983
183	6748	29926
184	6783	29883
185	6813	29819
186	6853	29796
187	6887	29747
188	6925	29715
189	6963	29685
