,trade_id,product_id,price,size,time,side,exchange,bid,ask
0,590641283,ETH-USD,3598.16,0.01375526,2025-01-04 06:38:20.767435+00:00,SELL,,,
1,590641265,ETH-USD,3598.52,0.00055024,2025-01-04 06:38:05.312585+00:00,SELL,,,
2,387031754,ETH-USD,3597.6,0.01677584,2025-01-04 06:37:50.171000+00:00,BUY,,,
3,590641235,ETH-USD,3598.19,0.001,2025-01-04 06:37:34.207227+00:00,BUY,,,
4,590641224,ETH-USD,3598.33,0.00137564,2025-01-04 06:37:17.481193+00:00,SELL,,,
5,590641198,ETH-USD,3597.61,0.69754246,2025-01-04 06:37:01.365434+00:00,SELL,,,
6,590641182,ETH-USD,3597.62,0.00960633,2025-01-04 06:36:46.157144+00:00,SELL,,,
7,590641163,ETH-USD,3596.97,0.05933581,2025-01-04 06:36:31.776549+00:00,SELL,,,
8,590641140,ETH-USD,3596.72,0.58750562,2025-01-04 06:36:15.464635+00:00,SELL,,,
9,590641129,ETH-USD,3596.71,0.00015736,2025-01-04 06:36:00.953901+00:00,BUY,,,
10,590641116,ETH-USD,3596.71,0.00374199,2025-01-04 06:35:44.546864+00:00,BUY,,,
11,590641096,ETH-USD,3596.65,0.02692021,2025-01-04 06:35:28.284840+00:00,SELL,,,
12,590641074,ETH-USD,3596.96,0.00640282,2025-01-04 06:35:13.424289+00:00,BUY,,,
13,590641058,ETH-USD,3596.68,0.00374214,2025-01-04 06:34:58.623135+00:00,SELL,,,
14,590641040,ETH-USD,3596.52,0.0002165,2025-01-04 06:34:41.654349+00:00,SELL,,,
15,590640986,ETH-USD,3596.66,0.0064702,2025-01-04 06:34:26.454971+00:00,SELL,,,
16,590640952,ETH-USD,3598.31,0.01928637,2025-01-04 06:34:11.998009+00:00,BUY,,,
17,590640929,ETH-USD,3597.26,0.00375037,2025-01-04 06:33:54.923634+00:00,BUY,,,
18,590640910,ETH-USD,3597.39,0.00035018,2025-01-04 06:33:36.711623+00:00,BUY,,,
19,590640890,ETH-USD,3597.24,0.00015846,2025-01-04 06:33:21.977811+00:00,SELL,,,
20,590640867,ETH-USD,3597.23,0.001,2025-01-04 06:33:06.653479+00:00,BUY,,,
21,590640838,ETH-USD,3597.65,0.00375366,2025-01-04 06:32:50.945058+00:00,SELL,,,
22,590640814,ETH-USD,3598.02,0.00817686,2025-01-04 06:32:34.079765+00:00,SELL,,,
23,590640798,ETH-USD,3597.9,0.00041554,2025-01-04 06:32:19.930494+00:00,SELL,,,
24,590640748,ETH-USD,3599.56,0.01320437,2025-01-04 06:32:04.353081+00:00,SELL,,,
25,590640727,ETH-USD,3599.33,0.00145841,2025-01-04 06:31:49.372251+00:00,BUY,,,
26,590640713,ETH-USD,3599.54,0.05500657,2025-01-04 06:31:34.302113+00:00,SELL,,,
27,590640686,ETH-USD,3599.56,0.01792,2025-01-04 06:31:19.624960+00:00,BUY,,,
28,590640668,ETH-USD,3599.75,0.00264777,2025-01-04 06:31:04.829568+00:00,BUY,,,
29,590640639,ETH-USD,3599.8,0.00674619,2025-01-04 06:30:49.574709+00:00,SELL,,,
30,590640630,ETH-USD,3599.8,0.02812306,2025-01-04 06:30:32.413841+00:00,SELL,,,
31,590640615,ETH-USD,3599.8,0.00275015,2025-01-04 06:30:17.898538+00:00,SELL,,,
