,trade_id,product_id,price,size,time,side,bid,ask,exchange
0,596800985,ETH-USD,3266.99,0.14358,2025-01-20 03:36:38.792845+00:00,SELL,,,
1,596800854,ETH-USD,3267.41,0.00054944,2025-01-20 03:36:23.952515+00:00,SELL,,,
2,596800620,ETH-USD,3264.87,0.00290051,2025-01-20 03:36:08.906576+00:00,BUY,,,
3,596800402,ETH-USD,3267.72,0.0007427,2025-01-20 03:35:53.858125+00:00,SELL,,,
4,596800228,ETH-USD,3268.47,0.0037715,2025-01-20 03:35:38.233545+00:00,SELL,,,
5,596800013,ETH-USD,3262.79,0.00065609,2025-01-20 03:35:23.904115+00:00,SELL,,,
6,596799838,ETH-USD,3261.56,0.00377902,2025-01-20 03:35:08.885748+00:00,SELL,,,
7,596799638,ETH-USD,3257.38,0.01,2025-01-20 03:34:53.991059+00:00,SELL,,,
8,596799513,ETH-USD,3254.88,0.00378676,2025-01-20 03:34:38.914212+00:00,BUY,,,
9,596799207,ETH-USD,3259.4,0.00378206,2025-01-20 03:34:23.752359+00:00,SELL,,,
10,596799052,ETH-USD,3259.39,0.00378152,2025-01-20 03:34:08.960872+00:00,SELL,,,
11,596798881,ETH-USD,3253.75,0.07615431,2025-01-20 03:33:53.884673+00:00,SELL,,,
12,596798688,ETH-USD,3254.67,0.02931753,2025-01-20 03:33:38.961945+00:00,SELL,,,
13,596798481,ETH-USD,3251.26,0.00220922,2025-01-20 03:33:23.715332+00:00,BUY,,,
14,391546234,ETH-USD,3251.1,0.00870474,2025-01-20 03:33:08.877000+00:00,SELL,,,
15,596798192,ETH-USD,3249.27,0.001,2025-01-20 03:32:53.982819+00:00,SELL,,,
16,596798089,ETH-USD,3250.71,0.00228973,2025-01-20 03:32:38.978563+00:00,BUY,,,
17,596797987,ETH-USD,3250.4,0.001,2025-01-20 03:32:23.749503+00:00,SELL,,,
18,596797809,ETH-USD,3248.38,0.06149,2025-01-20 03:32:08.761285+00:00,BUY,,,
19,596797706,ETH-USD,3247.07,0.0067922,2025-01-20 03:31:53.724997+00:00,SELL,,,
20,596797549,ETH-USD,3246.67,0.00316277,2025-01-20 03:31:38.658115+00:00,SELL,,,
21,596797368,ETH-USD,3242.75,0.04467608,2025-01-20 03:31:23.924661+00:00,SELL,,,
22,596797224,ETH-USD,3242.67,0.00311017,2025-01-20 03:31:08.936001+00:00,SELL,,,
23,596797097,ETH-USD,3240.72,0.00275142,2025-01-20 03:30:53.978683+00:00,SELL,,,
24,596796919,ETH-USD,3243.7,0.00352237,2025-01-20 03:30:38.871701+00:00,SELL,,,
25,596796777,ETH-USD,3247.1,0.0035186,2025-01-20 03:30:23.373127+00:00,BUY,,,
26,596796608,ETH-USD,3243.71,3.08289394,2025-01-20 03:30:08.885017+00:00,SELL,,,
27,596796385,ETH-USD,3244.36,0.00152516,2025-01-20 03:29:53.997505+00:00,SELL,,,
28,596796276,ETH-USD,3244.49,0.00352127,2025-01-20 03:29:38.735926+00:00,SELL,,,
29,596796131,ETH-USD,3243.51,0.001,2025-01-20 03:29:23.764059+00:00,SELL,,,
30,596795978,ETH-USD,3244.09,0.00244647,2025-01-20 03:29:08.932997+00:00,SELL,,,
31,596795824,ETH-USD,3240.68,0.00273138,2025-01-20 03:28:53.814200+00:00,SELL,,,
32,596795740,ETH-USD,3241.66,0.01,2025-01-20 03:28:38.698921+00:00,BUY,,,
33,596795574,ETH-USD,3244.1,0.00032542,2025-01-20 03:28:23.524492+00:00,SELL,,,
34,596795415,ETH-USD,3241.88,0.00332808,2025-01-20 03:28:08.953385+00:00,BUY,,,
35,596795271,ETH-USD,3243.44,0.04386134,2025-01-20 03:27:53.996574+00:00,SELL,,,
36,596795173,ETH-USD,3244.0,0.00332505,2025-01-20 03:27:38.093804+00:00,SELL,,,
37,596795024,ETH-USD,3244.4,0.00671268,2025-01-20 03:27:23.777940+00:00,SELL,,,
38,596794911,ETH-USD,3245.79,0.01,2025-01-20 03:27:08.977442+00:00,BUY,,,
39,596794766,ETH-USD,3243.38,0.6164829,2025-01-20 03:26:53.363393+00:00,BUY,,,
40,596794665,ETH-USD,3245.0,0.00079987,2025-01-20 03:26:38.500570+00:00,SELL,,,
41,596794489,ETH-USD,3246.55,0.14954372,2025-01-20 03:26:23.845894+00:00,SELL,,,
42,2025-01-20T03:26:08.581Z-ETH/USD-3249.863-0.11,ETH-USD,3249.863,0.11,2025-01-20 03:26:08.581000+00:00,UNKNOWN_ORDER_SIDE,,,
43,596794172,ETH-USD,3252.32,0.00069502,2025-01-20 03:25:53.564054+00:00,SELL,,,
44,596793958,ETH-USD,3252.28,0.01,2025-01-20 03:25:38.625705+00:00,BUY,,,
45,596793872,ETH-USD,3249.29,0.0033196,2025-01-20 03:25:23.986819+00:00,SELL,,,
46,596793716,ETH-USD,3249.82,0.6,2025-01-20 03:25:08.816202+00:00,SELL,,,
47,596793464,ETH-USD,3251.69,0.00331839,2025-01-20 03:24:53.092862+00:00,SELL,,,
48,596793334,ETH-USD,3251.34,0.00285437,2025-01-20 03:24:38.944635+00:00,SELL,,,
49,596793159,ETH-USD,3251.48,0.00061414,2025-01-20 03:24:23.961230+00:00,BUY,,,
50,596792986,ETH-USD,3254.29,1.1137,2025-01-20 03:24:08.858763+00:00,BUY,,,
51,596792754,ETH-USD,3256.95,0.00259706,2025-01-20 03:23:53.970382+00:00,BUY,,,
52,596792605,ETH-USD,3257.69,0.35255,2025-01-20 03:23:38.736685+00:00,SELL,,,
53,596792478,ETH-USD,3256.23,0.008,2025-01-20 03:23:23.737907+00:00,SELL,,,
54,596792352,ETH-USD,3254.01,0.00199062,2025-01-20 03:23:08.852852+00:00,BUY,,,
55,596792149,ETH-USD,3255.87,0.32336682,2025-01-20 03:22:53.956370+00:00,SELL,,,
56,596791992,ETH-USD,3258.54,0.04981076,2025-01-20 03:22:38.818797+00:00,SELL,,,
57,596791813,ETH-USD,3258.04,0.001,2025-01-20 03:22:23.828574+00:00,SELL,,,
58,596791667,ETH-USD,3256.95,0.2255288,2025-01-20 03:22:08.856268+00:00,SELL,,,
59,596791496,ETH-USD,3258.36,0.00319913,2025-01-20 03:21:53.377137+00:00,BUY,,,
60,596791324,ETH-USD,3261.74,0.00000097,2025-01-20 03:21:38.715279+00:00,BUY,,,
61,596791118,ETH-USD,3265.4,0.01,2025-01-20 03:21:23.954711+00:00,BUY,,,
62,596790974,ETH-USD,3269.92,0.52937645,2025-01-20 03:21:08.991960+00:00,BUY,,,
63,596790782,ETH-USD,3270.36,5.05142209,2025-01-20 03:20:53.978443+00:00,BUY,,,
64,596790610,ETH-USD,3270.86,0.00035758,2025-01-20 03:20:38.918212+00:00,BUY,,,
65,2025-01-20T03:20:23.875Z-ETH/USD-3271.85-0.39,ETH-USD,3271.85,0.39,2025-01-20 03:20:23.875000+00:00,UNKNOWN_ORDER_SIDE,,,
66,596790201,ETH-USD,3264.46,0.01,2025-01-20 03:20:08.879896+00:00,BUY,,,
67,596789943,ETH-USD,3263.2,0.65945185,2025-01-20 03:19:53.894208+00:00,BUY,,,
68,596789643,ETH-USD,3264.99,0.00421683,2025-01-20 03:19:38.773323+00:00,SELL,,,
69,596789557,ETH-USD,3264.0,0.14897533,2025-01-20 03:19:23.968446+00:00,SELL,,,
70,596789460,ETH-USD,3260.91,0.17846656,2025-01-20 03:19:08.892850+00:00,SELL,,,
71,596789311,ETH-USD,3263.52,0.00138464,2025-01-20 03:18:53.651857+00:00,BUY,,,
72,596789208,ETH-USD,3263.58,0.00040168,2025-01-20 03:18:38.789305+00:00,SELL,,,
73,596789053,ETH-USD,3261.15,0.102,2025-01-20 03:18:23.773921+00:00,SELL,,,
74,596788914,ETH-USD,3261.19,0.01730875,2025-01-20 03:18:08.950481+00:00,SELL,,,
75,596788741,ETH-USD,3260.17,0.01002457,2025-01-20 03:17:53.913427+00:00,SELL,,,
76,596788656,ETH-USD,3260.18,0.50508,2025-01-20 03:17:38.829808+00:00,SELL,,,
77,596788498,ETH-USD,3257.19,0.08460839,2025-01-20 03:17:23.835688+00:00,SELL,,,
78,596788372,ETH-USD,3254.81,0.00327899,2025-01-20 03:17:08.772595+00:00,BUY,,,
79,596788185,ETH-USD,3260.37,0.56368711,2025-01-20 03:16:53.375291+00:00,SELL,,,
80,596788038,ETH-USD,3262.33,0.00183921,2025-01-20 03:16:38.908657+00:00,BUY,,,
81,596787733,ETH-USD,3256.8,1.25415,2025-01-20 03:16:23.546232+00:00,SELL,,,
82,596787566,ETH-USD,3254.75,0.04452619,2025-01-20 03:16:08.977848+00:00,SELL,,,
83,2025-01-20T03:15:53.973Z-ETH/USD-3251.564-0.03,ETH-USD,3251.564,0.03,2025-01-20 03:15:53.973000+00:00,UNKNOWN_ORDER_SIDE,,,
84,596787206,ETH-USD,3248.72,0.00122292,2025-01-20 03:15:38.582477+00:00,SELL,,,
85,596787067,ETH-USD,3244.37,0.28254,2025-01-20 03:15:23.998292+00:00,SELL,,,
86,596786939,ETH-USD,3247.96,0.00053036,2025-01-20 03:15:08.751283+00:00,SELL,,,
87,596786745,ETH-USD,3248.38,0.0033863,2025-01-20 03:14:53.685999+00:00,BUY,,,
88,596786548,ETH-USD,3252.37,1.45039273,2025-01-20 03:14:38.985025+00:00,SELL,,,
89,596786358,ETH-USD,3248.64,0.001,2025-01-20 03:14:23.918337+00:00,SELL,,,
90,596786191,ETH-USD,3244.92,0.00188829,2025-01-20 03:14:08.825503+00:00,BUY,,,
91,2025-01-20T03:13:53.648Z-ETH/USD-3244.45-0.2,ETH-USD,3244.45,0.2,2025-01-20 03:13:53.648000+00:00,UNKNOWN_ORDER_SIDE,,,
92,596785874,ETH-USD,3243.55,0.00261703,2025-01-20 03:13:38.981427+00:00,SELL,,,
93,596785755,ETH-USD,3242.17,0.00059726,2025-01-20 03:13:23.440263+00:00,SELL,,,
94,596785626,ETH-USD,3241.63,0.00152615,2025-01-20 03:13:08.684351+00:00,SELL,,,
95,596785491,ETH-USD,3239.98,0.00034936,2025-01-20 03:12:53.564971+00:00,SELL,,,
