,trade_id,product_id,price,size,time,side,exchange,bid,ask,trades,best_bid,best_ask
0,581175205,ETH-USD,3918.31,0.00280733,2024-12-12 04:25:39.989985+00:00,BUY,,,,,,
1,581174903,ETH-USD,3922.21,0.01,2024-12-12 04:25:24.926378+00:00,SELL,,,,,,
2,581174773,ETH-USD,3922.29,0.00637389,2024-12-12 04:25:09.615033+00:00,BUY,,,,,,
3,581174634,ETH-USD,3922.74,0.00000001,2024-12-12 04:24:54.892312+00:00,BUY,,,,,,
4,581174466,ETH-USD,3925.19,0.00190136,2024-12-12 04:24:39.989397+00:00,SELL,,,,,,
5,581174357,ETH-USD,3925.41,0.00006114,2024-12-12 04:24:24.711015+00:00,BUY,,,,,,
6,581174274,ETH-USD,3926.01,0.17180949,2024-12-12 04:24:09.478095+00:00,BUY,,,,,,
7,581174189,ETH-USD,3925.98,0.02346832,2024-12-12 04:23:54.797690+00:00,SELL,,,,,,
8,581174096,ETH-USD,3924.55,0.0251886,2024-12-12 04:23:39.479600+00:00,SELL,,,,,,
9,581173887,ETH-USD,3926.22,0.00080281,2024-12-12 04:23:24.755407+00:00,SELL,,,,,,
10,581173831,ETH-USD,3929.4,0.0027994,2024-12-12 04:23:08.883624+00:00,BUY,,,,,,
11,581173743,ETH-USD,3931.46,0.00279794,2024-12-12 04:22:54.832263+00:00,BUY,,,,,,
12,581173642,ETH-USD,3933.37,0.001,2024-12-12 04:22:39.650180+00:00,SELL,,,,,,
13,581173518,ETH-USD,3930.35,0.24103,2024-12-12 04:22:24.913678+00:00,SELL,,,,,,
14,581173380,ETH-USD,3929.78,0.13468834,2024-12-12 04:22:09.894928+00:00,SELL,,,,,,
15,581173253,ETH-USD,3927.54,0.02521143,2024-12-12 04:21:54.516602+00:00,SELL,,,,,,
16,581173170,ETH-USD,3925.97,0.00208745,2024-12-12 04:21:39.503030+00:00,SELL,,,,,,
17,581173016,ETH-USD,3924.39,0.00027526,2024-12-12 04:21:24.662826+00:00,BUY,,,,,,
18,581172913,ETH-USD,3923.36,0.39997691,2024-12-12 04:21:08.986030+00:00,BUY,,,,,,
19,581172796,ETH-USD,3923.11,0.00197041,2024-12-12 04:20:54.574787+00:00,SELL,,,,,,
20,581172709,ETH-USD,3922.15,0.01212389,2024-12-12 04:20:39.878992+00:00,SELL,,,,,,
21,581172595,ETH-USD,3922.89,0.01401128,2024-12-12 04:20:24.887983+00:00,BUY,,,,,,
22,581172486,ETH-USD,3919.71,0.00280633,2024-12-12 04:20:09.653086+00:00,BUY,,,,,,
23,581172362,ETH-USD,3921.19,0.00467474,2024-12-12 04:19:54.062149+00:00,SELL,,,,,,
24,581172273,ETH-USD,3919.89,0.00227415,2024-12-12 04:19:39.616340+00:00,SELL,,,,,,
